Language,Gender,Filename,Text
en,female,0.wav,time to get in time to get time time time time time time
en,female,2.wav,exit polling and historical data tell us if the panel is leaning toward acceptance they will ask only one question
en,female,3.wav,Are you Werth Academy material?
en,female,4.wav,yes I am
en,female,5.wav,three things worth academy
en,female,6.wav,ha ha ha zero one seven
en,female,7.wav,Apparently they changed the big question
en,female,8.wav,just gonna have to go to plan be your playing was impossible that's why we want to plan a plan be is the new plan moving forward neighborhood identified by some miracle the house in the neighborhood
en,female,9.wav,available and major future
en,female,10.wav,em mom
en,female,11.wav,Do you really think I'm Werth Academy material You will be by the end of the summer bacause I've designed a plan
en,female,12.wav,I call it your life plan life plan
en,female,13.wav,life plan we're not leaving anything to chance everything's here oriented talk to bottom left to right let's take a closer look the minute of the
en,female,14.wav,but for now all your attention should be focused here the first day of your new schoolfifty three days of practice which doesn't sound like much until you break it into ours one thousand two hundred and seventy two minutes seventy six thousand three hundred and twenty only then do you realize how much can be
en,female,15.wav,so I can't afford any
en,female,16.wav,you're going to make a wonderful grownup
en,female,17.wav,thank you mom
en,female,18.wav,I wish I could stay sweetie but it's the Davis audit again The Kelly numbers on the Miller oversite are still problematic Only this time fines caught wind of it now Logan's in a panic And Fisher wants nothing to do with it Logan Now I've gotta go in And make it all balance out I'm not even sure that's possible
en,female,19.wav,if anyone can do it it's you you go
en,female,20.wav,you're my senior VP
en,female,21.wav,I'm just thankful we don't live next door
en,female,23.wav,try to start your play
en,female,24.wav,ah
en,female,25.wav,Where did you get the pennies
en,female,26.wav,From the old man next door 
en,female,27.wav,Actually it was the police officer who "gave" them to me
en,female,28.wav,what kind of knot keeps an airplane and actually starts it in his backyard honey are you sure your ok I'll have to call insurance agent and file a police report and photo documentation inside an outside
en,female,29.wav,We'll call a contractor in the morning and we'll forget the old man even exists Forgotten
en,female,30.wav,once upon a time
en,female,31.wav,there is a little prince who have done the planet that was scarcely figure than himself
en,female,32.wav,during lunch can all those pennies
en,female,33.wav,if you please draw me a sheep
en,female,34.wav,if you please draw me a sheep
en,female,35.wav,join me is she
en,female,36.wav,that doesn't matter
en,female,37.wav,too
en,female,38.wav,that is exactly the way I wanted it
en,female,39.wav,do you think that she believed a great deal of grass because where I live everything is very
en,female,40.wav,not so small that he's going to sleep
en,female,41.wav,I just want to give your drawing back
en,female,42.wav,no I did
en,female,43.wav,it's nice I read the story too Attentively.
en,female,44.wav,I found it
en,female,45.wav,I mean curious or interesting I guess I have some issues with some of the facts
en,female,46.wav,I don't mean to be rude can I
en,female,47.wav,Well first of all what was the kid doing there in the desert That's very strange No one can last very long in a desert without food and water Where are his parents Does he even go to school Does he really live up there Because I took basic astronomy and there was no mention of life or children on any other planets Unless it's true that he came from a star But that seems improbable
en,female,48.wav,oh We didn't cover asteroids
en,female,49.wav,British you get all this
en,female,50.wav,what's your name little fox
en,female,51.wav,are you okay
en,female,52.wav,I think I'm baloney intolerant
en,female,53.wav,now that
en,female,54.wav,I suppose you wouldn't have to scream and at night I want you to put me in black
en,female,55.wav,he left her alone
en,female,56.wav,your desk is a mess did you finish your study work for today ah
en,female,57.wav,not exactly
en,female,58.wav,well what have you been doing
en,female,59.wav,I read a lot
en,female,60.wav,my friend
en,female,61.wav,no no no no no no nope
en,female,62.wav,yes
en,female,63.wav,if you study hard and you stayed completely on track with the plan you can spend some time with your new friend
en,female,64.wav,on Thursdays from one to one
en,female,65.wav,sire over what do you rule
en,female,66.wav,and the stars obey
en,female,67.wav,that would be this evening about twenty minutes
en,female,68.wav,you're wearing a funny kind of hat
en,female,69.wav,but you're the only man on this planet
en,female,70.wav,good does that do
en,female,71.wav,and what good does it do you did you
en,female,72.wav,sorry
en,female,73.wav,I'm not so sure I want to grow up anymore
en,female,74.wav,I definitely don't want to forget
en,female,75.wav,rather it is the little desert
en,female,76.wav,you are funny you are no thicker than
en,female,77.wav,you haven't any feet you cannot even travel
en,female,78.wav,I think I understand you
en,female,79.wav,just reach
en,female,80.wav,I got your girl
