Language,Gender,Filename,Text
en,female,16.wav,"[""you're going to make a wonderful girl""]"
en,female,103.wav,"[""don't put me disappear""]"
en,female,117.wav,"[""I'm going to make""]"
en,female,116.wav,['it was much further it was much more difficult']
en,female,102.wav,['I just like him now']
en,female,17.wav,"[""don't you know""]"
en,female,15.wav,['so who you support']
en,female,29.wav,"[""call girl dragged morning and we'll forget the old man even exists forgotten""]"
en,female,128.wav,"[""can't you sure she's not back with his girl""]"
en,female,114.wav,['uko']
en,female,100.wav,"[""if you're ever around""]"
en,female,101.wav,['I have to work so hard']
en,female,115.wav,['should we get to meet Rachel']
en,female,129.wav,"[""I don't want you""]"
en,female,28.wav,['what you want chips in a plane and actually start it it was my God I have to call insurance']
en,female,14.wav,['but for now who are attention should be focused here the first day of your new school fifty days until break into ours']
en,female,38.wav,['that is exactly the way I want']
en,female,10.wav,['oh']
en,female,111.wav,"[""we're going to fix our roof""]"
en,female,105.wav,['scoop to close']
en,female,139.wav,['was just a problem trying to get out my']
en,female,138.wav,['girlfriend']
en,female,104.wav,['leave that for his escape he took advantage of the migration of a flock of wild birds ok ok I never want to make to focus on what is essential']
en,female,110.wav,"[""I think he's managed to walk into the desert and find a while then go on a little table top""]"
en,female,11.wav,['do you even come worth the kind of material would be by the end of the summer because I have to say a plan']
en,female,39.wav,['using the sheep birthday because everything is worse']
en,female,13.wav,"[""playing we're not losing anything to chance everyday year are you to talk to bottom left let's take a closer look""]"
en,female,106.wav,['what makes the desert beautiful is that somewhere it hides a']
en,female,112.wav,['trouble']
en,female,113.wav,['want to get what you mean I promise']
en,female,107.wav,['can you lose']
en,female,12.wav,['I call it when life plan life']
en,female,61.wav,['no no no no no no nope']
en,female,75.wav,['some little boy was']
en,female,49.wav,['dogs']
en,female,148.wav,['Julia']
en,female,160.wav,['how could I was in essential fitting you just want']
en,female,174.wav,['haa']
en,female,175.wav,"[""i've got something to show""]"
en,female,161.wav,"[""I'm supposed to read this over and over and over till I'm home""]"
en,female,149.wav,"[""I just call ha I'm working""]"
en,female,48.wav,['cover asteroids']
en,female,74.wav,"[""I definitely don't want to forget""]"
en,female,60.wav,['my friend']
en,female,76.wav,['funny football food']
en,female,62.wav,['oh yes']
en,female,89.wav,['afternoon officer may rejects for']
en,female,163.wav,['job']
en,female,162.wav,"[""to get to you and it doesn't take the day off""]"
en,female,88.wav,['like when you crash']
en,female,63.wav,['if you study hard and you stayed completely on track with the plan you can spend some time with your new friends']
en,female,77.wav,['have any book can even trap']
en,female,9.wav,['available need you']
en,female,73.wav,['this a girl anymore']
en,female,67.wav,['let me be this you mean about twenty minutes']
en,female,172.wav,['how do you stop at the hospital before school']
en,female,166.wav,['horse']
en,female,98.wav,['ok about it as much as I care about you is you']
en,female,167.wav,['ha ha ha ha']
en,female,99.wav,"[""this is your life and I'm the one taking any responsibility for it that's your version of my life not mine""]"
en,female,173.wav,"[""that's sweet haha""]"
en,female,66.wav,['the stores are busy']
en,female,72.wav,['clearly']
en,female,8.wav,['just gonna have to go to pool be just was impossible to play zombie has been new planno more']
en,female,58.wav,['what have you been doing']
en,female,64.wav,['on Thursdays I want to win']
en,female,70.wav,['what does that do your']
