Gender,CnText,EnText,CnFile,EnFile,Token correlation
female,你具备上沃思学院的潜质吗,Are you Werth Academy material,3.wav,3.wav,
female,是的我有,yes I am,4.wav,4.wav,"[[0.8467013937660766, 0.1518762824695983, 0.0014223237643251222], [0.13201422040437033, 0.7359715591912593, 0.13201422040437033], [0.0014223237643251222, 0.1518762824695983, 0.8467013937660766]]"
female,看样子他们把终极问题改,Apparently they changed the big question,5.wav,7.wav,"[[0.8467013900787027, 0.15187628180817903, 0.00142232375813092, 4.354987400479002e-09, 4.4704317938558214e-24, 8.072512284832085e-65], [0.13185121024435748, 0.7350627870812457, 0.13185121024435748, 0.0012347886492620553, 3.7807770411269164e-09, 3.880999951521076e-24], [8.072512284832085e-65, 4.4704317938558214e-24, 4.354987400479002e-09, 0.00142232375813092, 0.15187628180817903, 0.8467013900787027], [0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], [3.7761143380040334e-09, 0.0012332658266178249, 0.13168860265256493, 0.7341562592655201, 0.13168860265256493, 0.0012332658266178249], [3.880999951521077e-24, 3.780777041126917e-09, 0.0012347886492620555, 0.13185121024435753, 0.735062787081246, 0.13185121024435753]]"
female,嗯妈妈,em mom,8.wav,10.wav,"[[0.8479073926005193, 0.15209260739948077], [0.15209260739948077, 0.8479073926005193]]"
female,你真觉得我具备上沃思的潜质吗过完这个暑假你就具备了因为我给你制定了一个计划,Do you really think I am Werth Academy material You will be by the end of the summer because I have designed a plan,9.wav,11.wav,"[[0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571], [0.8467013900787027, 0.15187628180817903, 0.00142232375813092, 4.354987400479002e-09, 4.4704317938558214e-24, 8.072512284832085e-65, 1.4293082481071797e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.13185121024435748, 0.7350627870812457, 0.13185121024435748, 0.0012347886492620553, 3.7807770411269164e-09, 3.880999951521076e-24, 7.0081417703645294e-65, 1.2408522257820054e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0012332658266178249, 0.13168860265256493, 0.7341562592655201, 0.13168860265256493, 0.0012332658266178249, 3.7761143380040334e-09, 3.87621364690776e-24, 6.999498868611047e-65, 1.239321925136066e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24, 6.99949884218014e-65, 1.2393219204562449e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [3.876213632270735e-24, 3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24, 6.99949884218014e-65, 1.2393219204562449e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [4.478735922312271e-239, 1.4008093418549279e-87, 7.557135646252342e-32, 2.4043971743078313e-11, 0.0008385119616736469, 0.4991614880142824, 0.4991614880142824, 0.0008385119616736469, 2.4043971743078313e-11, 7.557135646252342e-32, 1.4008093418549279e-87, 4.478735922312271e-239, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571], [0.0, 0.0, 0.0, 1.2393219204562446e-175, 6.999498842180138e-65, 3.8762136322707346e-24, 3.776114323744994e-09, 0.001233265821960872, 0.1316886021552937, 0.734156256493262, 0.1316886021552937, 0.001233265821960872, 3.776114323744994e-09, 3.8762136322707346e-24, 6.999498842180138e-65, 1.2393219204562446e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2393219204562449e-175, 6.99949884218014e-65, 3.876213632270735e-24, 3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24, 6.99949884218014e-65, 1.2393219204562449e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2393219204562449e-175, 6.99949884218014e-65, 3.876213632270735e-24, 3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24, 6.99949884218014e-65, 1.2393219204562449e-175, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2393219204562446e-175, 6.999498842180138e-65, 3.8762136322707346e-24, 3.776114323744994e-09, 0.001233265821960872, 0.1316886021552937, 0.734156256493262, 0.1316886021552937, 0.001233265821960872, 3.776114323744994e-09, 3.8762136322707346e-24, 6.999498842180138e-65, 1.2393219204562446e-175, 0.0, 0.0, 0.0, 0.0], [0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571], [0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2393219204562449e-175, 6.99949884218014e-65, 3.876213632270735e-24, 3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24, 6.99949884218014e-65, 1.2393219204562449e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2393219204562446e-175, 6.999498842180138e-65, 3.8762136322707346e-24, 3.776114323744994e-09, 0.001233265821960872, 0.1316886021552937, 0.734156256493262, 0.1316886021552937, 0.001233265821960872, 3.776114323744994e-09, 3.8762136322707346e-24, 6.999498842180138e-65, 1.2393219204562446e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2393219204562446e-175, 6.999498842180138e-65, 3.8762136322707346e-24, 3.776114323744994e-09, 0.001233265821960872, 0.1316886021552937, 0.734156256493262, 0.1316886021552937, 0.001233265821960872, 3.776114323744994e-09, 3.8762136322707346e-24, 6.999498842180138e-65, 1.2393219204562446e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2393219204562449e-175, 6.99949884218014e-65, 3.876213632270735e-24, 3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24, 6.99949884218014e-65, 1.2393219204562449e-175, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2393219204562449e-175, 6.99949884218014e-65, 3.876213632270735e-24, 3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24, 6.99949884218014e-65, 1.2393219204562449e-175, 0.0], [0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2393219204562446e-175, 6.999498842180138e-65, 3.8762136322707346e-24, 3.776114323744994e-09, 0.001233265821960872, 0.1316886021552937, 0.734156256493262, 0.1316886021552937, 0.001233265821960872, 3.776114323744994e-09, 3.8762136322707346e-24], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.239321925136066e-175, 6.999498868611047e-65, 3.87621364690776e-24, 3.7761143380040334e-09, 0.0012332658266178249, 0.13168860265256493, 0.7341562592655201, 0.13168860265256493, 0.0012332658266178249], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4293082481071797e-175, 8.072512284832085e-65, 4.4704317938558214e-24, 4.354987400479002e-09, 0.00142232375813092, 0.15187628180817903, 0.8467013900787027]]"
female,这个计划叫你的人生大计人生大计,I call it your life plan life plan,10.wav,12.wav,"[[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111], [0.0012332658266178249, 0.13168860265256493, 0.7341562592655201, 0.13168860265256493, 0.0012332658266178249, 3.7761143380040334e-09, 3.87621364690776e-24, 6.999498868611047e-65, 1.239321925136066e-175], [0.8467013900787027, 0.15187628180817903, 0.00142232375813092, 4.354987400479002e-09, 4.4704317938558214e-24, 8.072512284832085e-65, 1.4293082481071797e-175, 0.0, 0.0], [3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24, 6.99949884218014e-65], [6.999498842180138e-65, 3.8762136322707346e-24, 3.776114323744994e-09, 0.001233265821960872, 0.1316886021552937, 0.734156256493262, 0.1316886021552937, 0.001233265821960872, 3.776114323744994e-09], [1.2393219251360657e-175, 6.999498868611045e-65, 3.8762136469077596e-24, 3.776114338004033e-09, 0.0012332658266178246, 0.1316886026525649, 0.73415625926552, 0.1316886026525649, 0.0012332658266178246], [0.0, 1.2408522257820057e-175, 7.008141770364531e-65, 3.880999951521077e-24, 3.780777041126917e-09, 0.0012347886492620555, 0.13185121024435753, 0.735062787081246, 0.13185121024435753], [0.0, 0.0, 1.4293082481071797e-175, 8.072512284832085e-65, 4.4704317938558214e-24, 4.354987400479002e-09, 0.00142232375813092, 0.15187628180817903, 0.8467013900787027]]"
female,你哪来的这么多零钱,Where did you get the pennies,19.wav,25.wav,"[[0.13185121024435748, 0.7350627870812457, 0.13185121024435748, 0.0012347886492620553, 3.7807770411269164e-09, 3.880999951521076e-24, 7.0081417703645294e-65], [0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285], [0.8467013900787027, 0.15187628180817903, 0.00142232375813092, 4.354987400479002e-09, 4.4704317938558214e-24, 8.072512284832085e-65, 1.4293082481071797e-175], [0.0012332658266178249, 0.13168860265256493, 0.7341562592655201, 0.13168860265256493, 0.0012332658266178249, 3.7761143380040334e-09, 3.87621364690776e-24], [3.87621364690776e-24, 3.7761143380040334e-09, 0.0012332658266178249, 0.13168860265256493, 0.7341562592655201, 0.13168860265256493, 0.0012332658266178249], [1.4293082481071797e-175, 8.072512284832085e-65, 4.4704317938558214e-24, 4.354987400479002e-09, 0.00142232375813092, 0.15187628180817903, 0.8467013900787027]]"
female,是隔壁的老爷爷,From the old man next door ,20.wav,26.wav,"[[0.25, 0.25, 0.25, 0.25], [0.25, 0.25, 0.25, 0.25], [4.354987400479002e-09, 0.00142232375813092, 0.15187628180817903, 0.8467013900787027], [4.354987400479002e-09, 0.00142232375813092, 0.15187628180817903, 0.8467013900787027], [0.13185121074285752, 0.7350627898603543, 0.13185121074285752, 0.001234788653930516], [0.13185121074285752, 0.7350627898603543, 0.13185121074285752, 0.001234788653930516]]"
female,明早给承包商打电话然后把隔壁的那个老头彻底忘掉忘掉了,We will call a contractor in the morning and we will forget the old man even exists Forgotten,24.wav,29.wav,"[[0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24, 6.99949884218014e-65, 1.2393219204562449e-175, 0.0, 0.0, 0.0, 0.0], [0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.0012332658266178249, 0.13168860265256493, 0.7341562592655201, 0.13168860265256493, 0.0012332658266178249, 3.7761143380040334e-09, 3.87621364690776e-24, 6.999498868611047e-65, 1.239321925136066e-175, 0.0, 0.0, 0.0, 0.0, 0.0], [0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.8467013900787027, 0.15187628180817903, 0.00142232375813092, 4.354987400479002e-09, 4.4704317938558214e-24, 8.072512284832085e-65, 1.4293082481071797e-175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [3.876213632270735e-24, 3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24, 6.99949884218014e-65, 1.2393219204562449e-175, 0.0, 0.0, 0.0], [0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.0, 0.0, 0.0, 0.0, 0.0, 1.239321925136066e-175, 6.999498868611047e-65, 3.87621364690776e-24, 3.7761143380040334e-09, 0.0012332658266178249, 0.13168860265256493, 0.7341562592655201, 0.13168860265256493, 0.0012332658266178249], [0.0, 0.0, 1.2393219204562446e-175, 6.999498842180138e-65, 3.8762136322707346e-24, 3.776114323744994e-09, 0.001233265821960872, 0.1316886021552937, 0.734156256493262, 0.1316886021552937, 0.001233265821960872, 3.776114323744994e-09, 3.8762136322707346e-24, 6.999498842180138e-65], [0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2408522257820057e-175, 7.008141770364531e-65, 3.880999951521077e-24, 3.780777041126917e-09, 0.0012347886492620555, 0.13185121024435753, 0.735062787081246, 0.13185121024435753]]"
female,请你给我画只绵羊吧,if you please draw me a sheep,26.wav,33.wav,"[[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125], [0.13185121024435748, 0.7350627870812457, 0.13185121024435748, 0.0012347886492620553, 3.7807770411269164e-09, 3.880999951521076e-24, 7.0081417703645294e-65, 1.2408522257820054e-175], [0.8467013900787027, 0.15187628180817903, 0.00142232375813092, 4.354987400479002e-09, 4.4704317938558214e-24, 8.072512284832085e-65, 1.4293082481071797e-175, 0.0], [3.876213632270735e-24, 3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09], [3.776114323744995e-09, 0.0012332658219608723, 0.13168860215529374, 0.7341562564932622, 0.13168860215529374, 0.0012332658219608723, 3.776114323744995e-09, 3.876213632270735e-24], [6.999498868611047e-65, 3.87621364690776e-24, 3.7761143380040334e-09, 0.0012332658266178249, 0.13168860265256493, 0.7341562592655201, 0.13168860265256493, 0.0012332658266178249], [1.2408522257820054e-175, 7.0081417703645294e-65, 3.880999951521076e-24, 3.7807770411269164e-09, 0.0012347886492620553, 0.13185121024435748, 0.7350627870812457, 0.13185121024435748]]"
