,Unnamed: 0,Unnamed: 0.1,Language,Gender,Filename,Text
0,0.0,0.0,cn,male,65.wav,[u'\u5982\u679c\u5230\u4e86\u65f6\u95f4\u6211\u8be5']
1,1.0,1.0,cn,male,39.wav,[u'\u6536\u85cf\u65e7\u8f66\u6536\u85cf\u54c8\u54c8']
2,2.0,2.0,cn,male,54.wav,[u'\u6211\u6ca1\u6709\u88ab\u9a6f\u670d\u4ec0\u4e48\u5bb6\u9a6f\u670d\u9a6f\u670d\u7684\u610f\u601d\u662f\u5236\u9020\u7f81\u7eca\u5bf9\u6211\u6765\u8bf4\u4f60\u53ea\u662f\u4e00\u4e2a\u666e\u901a\u7684\u5c0f\u7537\u5b69\u513f\u548c\u5176\u4ed6\u5343\u5343\u4e07\u4e07\u7684\u5c0f\u7537\u5b69\u6ca1\u6709\u533a\u522b\u6211\u5e76\u4e0d\u9700\u8981\u4f60\u4e5f\u4e0d\u9700\u8981\u6211\u5bf9\u4f60\u6765\u8bf4\u6211\u5c31\u662f\u4e00\u53ea\u666e\u901a\u7684\u72d0\u72f8\u548c\u5176\u4ed6\u5343\u5343\u4e07\u4e07\u53ea\u72d0\u72f8\u6ca1\u6709\u533a\u522b\u4f46\u5982\u679c\u4f60\u9a6f\u670d\u4e86\u6211\u6211\u4eec\u5c31\u4f1a\u9700\u8981\u5f7c\u6b64']
3,3.0,3.0,cn,male,128.wav,[u'\u8fd9\u5c0f\u5b50\u4e0a\u4eba\u4e00\u5b9a\u4f1a\u5bf9\u6211\u5927\u5931\u6240\u671b']
4,4.0,4.0,cn,male,16.wav,[u'\u55ef\u55ef\u55ef\u55ef']
5,5.0,5.0,cn,male,138.wav,[u'\u6211\u60f3\u4e0d\u8d77\u4f60\u8bf4\u8fc7\u4ec0\u4e48']
6,6.0,6.0,cn,male,60.wav,[u'\u521b\u65b0\u6027']
7,7.0,7.0,cn,male,0.wav,[u'\u5728\u6211\u516d\u5c81\u7684\u65f6\u5019\u8bfb\u5230\u8fc7\u4e00\u672c\u5047\u5982\u6709\u68ee\u6797\u4e66\u91cc\u8bf4\u5176\u5b9e\u7684\u65f6\u5019\u4f1a\u54cd']
8,8.0,8.0,cn,male,108.wav,[u'\u7f8e\u5973']
9,9.0,9.0,cn,male,62.wav,[u'\u5168\u56fd\u5973\u51fa\u5ac1\u4e86\u6765\u7684\u6b63\u53ca\u65f6\u7b49\u7b49']
10,10.0,10.0,cn,male,68.wav,[u'\u624b\u6307\u7684\u65f6\u5019\u53ef\u4ee5\u5403\u5230\u514d\u8d39\u7684\u677e\u997c']
11,11.0,11.0,cn,male,53.wav,[u'\u80af\u5fb7\u57fa']
12,12.0,12.0,cn,male,64.wav,[u'\u5982\u679c\u5982\u679c\u6211\u80fd\u8ba9\u98de\u673a\u98de\u8d77\u6765\u7684\u753b']
13,13.0,13.0,cn,male,79.wav,[u'\u5e73\u51c9\u5e02\u6211\u4eec\u627e\u5230\u4e86\u4e00\u53e3\u4e95']
14,14.0,14.0,cn,male,38.wav,[u'\u4f60\u77e5\u9053\u751f\u6d3b\u4e2d\u6709\u4e9b\u4e1c\u897f\u4f1a\u8ba9\u4f60\u4e00\u89c1\u949f\u60c5\u6709\u4e00\u4e2a\u4e13\u95e8\u7684\u540d\u5b57']
15,15.0,15.0,cn,male,126.wav,[u'\u6211\u4eec\u91c7\u7528\u4e00\u5957\u66f4\u4e3a\u5feb\u901f\u6709\u6548\u7684\u65b9\u6cd5\u8ba9\u4f60\u957f\u5927']
16,16.0,16.0,cn,male,119.wav,[u'\u91cc\u5821\u8ddf']
17,17.0,17.0,cn,male,89.wav,[u'\u5f00\u7bb1\u4e86\u6ca1\u6709\u548c\u9500\u552e\u5728\u5ef6\u65f6\u95f4\u4e86']
18,18.0,18.0,cn,male,118.wav,[u'\u55ef\u55ef\u55ef']
19,19.0,19.0,cn,male,52.wav,[u'\u770b\u6765\u521a\u624d\u53ef\u6015\u7684\u7a0b\u5ea6\u5206\u7c7b']
20,20.0,20.0,cn,male,88.wav,[u'\u6211\u53ea\u80fd\u4e00\u4e2a\u4eba\u8d70']
21,21.0,21.0,cn,male,113.wav,[u'\u6211\u60f3\u6709\u65f6\u95f4\u5c31']
22,22.0,22.0,cn,male,136.wav,[u'\u8d70\u4e86']
23,23.0,23.0,cn,male,114.wav,[u'\u6700\u540e\u4e00\u73ed\u8fd9\u4e0b\u6211\u8981\u88ab\u89e3\u96c7\u4e86\u8fd9\u662f\u6211\u6700\u540e\u7684']
24,24.0,24.0,cn,male,96.wav,[u'\u53ea\u8981\u4f60\u7528\u5fc3\u53bb\u770b\u6211\u4f1a\u6c38\u8fdc\u5728\u4f60\u8eab\u8fb9']
25,25.0,25.0,cn,male,46.wav,[u'\u661f\u661f\u51fa\u6765\u4e86']
26,26.0,26.0,cn,male,117.wav,[u'\u4e0d\u8fc7\u662f\u6c99\u5b50\u5f04\u6ca1\u4e86\u5417\u6211\u7528\u4e0d\u7740\u54ed\u6709\u6e29\u67d4']
27,27.0,27.0,cn,male,106.wav,[u'\u8d85\u5851\u6027']
28,28.0,28.0,cn,male,80.wav,[u'\u55ef\u55ef\u55ef\u522b\u90a3\u4e48\u65e9\u8d77']
29,29.0,29.0,cn,male,12.wav,[u'\u88ab\u670b\u53cb\u4eec']
30,30.0,30.0,cn,male,85.wav,[u'\u7b49\u7b49\u7a0d\u5fae\u7b49\u4e00\u4e0b\u806a\u806a\u8bf4\u8d70\u5c31\u8d70']
31,31.0,31.0,cn,male,92.wav,[u'\u7684\u786e\u50cf\u4ed6\u8bf4\u7684\u90a3\u6837\u6211\u4ef0\u671b\u661f\u7a7a\u7684\u65f6\u5019\u80fd\u542c\u89c1\u4ed6\u5728\u6b22\u7b11']
32,32.0,32.0,cn,male,95.wav,[u'\u54e6\u54e6\u5b69\u5b50']
33,33.0,33.0,cn,male,14.wav,[u'\u6211\u771f\u7684\u5f88\u62b1\u6b49\u6211\u660e\u767d\u6211\u7ed9\u9694\u58c1\u4eba\u5bb6\u9020\u6210\u4e86\u5de8\u5927\u7684\u635f\u5931']
34,34.0,34.0,cn,male,51.wav,[u'\u6211\u53ef\u4ee5\u5e26\u7740\u4f60\u53bb\u5230\u4e86']
35,35.0,35.0,cn,male,19.wav,[u'\u597d\u4e86\u5728\u7ebf']
36,36.0,36.0,cn,male,49.wav,[u'\u6211\u73b0\u5728\u53d8\u6210\u5927\u4eba\u4e86\u4f46\u6211\u4ece\u6765\u6ca1\u6709\u5fd8\u8bb0\u5c0f\u738b\u5b50']
37,37.0,37.0,cn,male,110.wav,[u'\u5de5\u4f5c']
38,38.0,38.0,cn,male,93.wav,[u'\u5982\u679c\u80fd\u786e\u5b9a\u7684\u8bdd\u6211\u81ea\u7136\u5341\u5206\u884c\u4e3a\u4f46\u662f\u4eba']
39,39.0,39.0,cn,male,120.wav,[u'\u6700\u8fd1\u600e\u4e48\u6837\u554a\u8fd8\u597d\u6211\u5f88\u559c\u6b22\u542c\u620f\u5427']
40,40.0,40.0,cn,male,55.wav,[u'\u55ef\u55ef']
41,41.0,41.0,cn,male,11.wav,[u'\u8bf7\u95ee\u4e0b5\u53f7']
42,42.0,42.0,cn,male,37.wav,[u'\u65e2\u7136\u5979\u60f3\u8981\u4e00\u53ea\u7f8a\u8fd9\u5c31\u8db3\u4ee5\u8bc1\u660e\u4ed6\u662f\u9519\u7684']
43,43.0,43.0,cn,male,81.wav,[u'\u6d77\u4e0a\u633a\u4e0d\u9519']
44,44.0,44.0,cn,male,124.wav,[u'\u8fd9\u672c\u4e66\u7684\u5185\u5bb9\u53ca\u5176\u7ecf\u5386']
45,45.0,45.0,cn,male,123.wav,[u'\u4f24\u4eba\u8ddf\u6211\u8bf4\u8d77\u62e8\u8fd9\u4e2a\u8fd9\u662f\u5f53\u65f6\u4f60\u8eab\u4e0a\u7684\u5b69\u7ae5\u65f6\u4ee3\u7684\u8bc1\u660e']
46,46.0,46.0,cn,male,40.wav,[u'\u4ea7\u54c1\u724c\u56de\u7b54\u5462\u4e00\u76f4\u60f3\u7ed9\u5979\u7f1d\u4e00\u5f20\u5634']
47,47.0,47.0,cn,male,134.wav,[u'\u6211\u4e0d\u662f\u6ca1\u53f7\u7801\u56de\u53bb\u5427']
48,48.0,48.0,cn,male,72.wav,[u'\u4ec0\u4e48']
49,49.0,49.0,cn,male,58.wav,[u'\u53ea\u8981\u5c0f\u72d0\u72f8\u7528\u5fc3\u53bb\u770b\u4ed6\u5c31\u4f1a\u770b\u5230\u5c0f\u738b\u5b50']
50,50.0,50.0,cn,male,86.wav,[u'\u5ff5\u5ff5\u4e0d\u820d']
51,51.0,51.0,cn,male,116.wav,[u'\u6ca1\u5173\u7cfb\u7528\u8d75\u62ec\u7528\u4e0d\u7740\u547c\u4ec0\u4e48\u5927\u795e\u4e00\u4e2a\u6210\u719f\u7684\u7537\u4eba']
52,52.0,52.0,cn,male,76.wav,[u'\u72d0\u72f8\u5148\u751f']
53,53.0,53.0,cn,male,3.wav,[u'\u4f60\u505a\u7684\u5f88\u597d\u5404\u65b9\u9762\u90fd\u5f88']
54,54.0,54.0,cn,male,73.wav,[u'\u4e0a\u5b66\u559d\u4e86\u6ca1\u6709\u600e\u4e48\u7528\u5c31\u5f00\u51fa\u6765\u4e86']
55,55.0,55.0,cn,male,33.wav,[u'\u90a3\u5c31\u662f\u6211\u753b\u7684\u4e0d\u591f']
56,56.0,56.0,cn,male,111.wav,[u'\u54ea\u5412\u600e\u4e48\u5de5\u4f5c\u54e6\u54e6\u54e6\u54e6\u54e6\u4ed6']
57,57.0,57.0,cn,male,137.wav,[u'\u8001\u5929\u7237']
