Language,Gender,Filename,Active time,Alignment,Tokens
cn,female,3.wav,"[(0, 1670)]","[('你', 0, 150), ('具备', 150, 610), ('上', 610, 850), ('沃', 850, 990), ('思', 990, 1120), ('学院', 1120, 1320), ('的', 1320, 1410), ('潜质', 1410, 1600), ('吗', 1600, 1670)]",你 具备 上 沃 思 学院 的 潜质 吗
en,female,3.wav,"[(0, 1460)]","[('are', 0, 210), ('you', 210, 540), ('werth', 540, 800), ('academy', 800, 1210), ('material', 1210, 1460)]",are you werth academy material
cn,female,4.wav,"[(0, 1760)]","[('是的', 0, 800), ('我', 800, 930), ('有', 930, 1760)]",是的 我 有
en,female,4.wav,"[(0, 1440)]","[('yes', 0, 680), ('i', 680, 1030), ('am', 1030, 1440)]",yes i am
cn,female,5.wav,"[(0, 1220)]","[('看样子', 0, 260), ('他们', 260, 410), ('把', 410, 570), ('终极', 570, 870), ('问题', 870, 1090), ('改', 1090, 1220)]",看样子 他们 把 终极 问题 改
en,female,7.wav,"[(0, 2160)]","[('apparently', 0, 560), ('they', 560, 920), ('changed', 920, 1340), ('the', 1340, 1520), ('big', 1520, 1710), ('question', 1710, 2160)]",apparently they changed the big question
cn,female,8.wav,"[(0, 1280)]","[('嗯', 0, 810), ('妈妈', 810, 1280)]",嗯 妈妈
en,female,10.wav,"[(0, 1620)]","[('em', 0, 610), ('mom', 610, 1620)]",em mom
cn,female,9.wav,"[(0, 6300)]","[('你', 0, 70), ('真', 70, 320), ('觉得', 320, 610), ('我', 610, 670), ('具备', 670, 1280), ('上', 1280, 1630), ('沃', 1630, 1730), ('思', 1730, 1840), ('的', 1840, 2200), ('潜质', 2200, 2780), ('吗', 2780, 3110), ('过', 3110, 3320), ('完', 3320, 3520), ('这个', 3520, 3730), ('暑假', 3730, 4010), ('你', 4010, 4210), ('就', 4210, 4410), ('具备', 4410, 4730), ('了', 4730, 4790), ('因为', 4790, 4980), ('我', 4980, 5100), ('给', 5100, 5240), ('你', 5240, 5320), ('制定', 5320, 5610), ('了', 5610, 5690), ('一', 5690, 5720), ('个', 5720, 5790), ('计划', 5790, 6300)]",你 真 觉得 我 具备 上 沃 思 的 潜质 吗 过 完 这个 暑假 你 就 具备 了 因为 我 给 你 制定 了 一 个 计划
en,female,11.wav,"[(0, 6360)]","[('do', 0, 310), ('you', 310, 500), ('really', 500, 700), ('think', 700, 980), ('i', 980, 1080), ('am', 1080, 1620), ('werth', 1620, 1930), ('academy', 1930, 2380), ('material', 2380, 3230), ('you', 3230, 3410), ('will', 3410, 3580), ('be', 3580, 3740), ('by', 3740, 3910), ('the', 3910, 4040), ('end', 4040, 4150), ('of', 4150, 4210), ('the', 4210, 4280), ('summer', 4280, 4770), ('because', 4770, 5000), ('i', 5000, 5070), ('have', 5070, 5190), ('designed', 5190, 5520), ('a', 5520, 5550), ('plan', 5550, 6360)]",do you really think i am werth academy material you will be by the end of the summer because i have designed a plan
