Language,Gender,Filename,Text
en,male,16.wav,['first']
en,male,103.wav,['busy was working']
en,male,117.wav,['to find the little branch']
en,male,116.wav,"[""I think it's time I told you the end of this""]"
en,male,102.wav,['fox']
en,male,17.wav,"[""yeah I'm just done I was in a game of bridge you black""]"
en,male,15.wav,['hey good afternoon officer']
en,male,29.wav,['wow']
en,male,114.wav,"[""no no I'm sorry but from the moment does come for me to leave""]"
en,male,100.wav,"[""man I'm sorry to put apparently they were going to get""]"
en,male,115.wav,['I have to go alone']
en,male,129.wav,['wow']
en,male,28.wav,['like']
en,male,14.wav,['brother that']
en,male,38.wav,['super stores inside']
en,male,10.wav,['wow']
en,male,111.wav,['ok come over here anymore']
en,male,105.wav,['pill for his closed eyes locks of hair']
en,male,139.wav,['structure city']
en,male,138.wav,"[""inside sleeping I'm saying changes I'm safe everything running red lights""]"
en,male,110.wav,['I mean big mistake the other day']
en,male,39.wav,['enough grass ball shoot']
en,male,13.wav,"[""it didn't usually believe plane back there I don't don't I flew away years""]"
en,male,106.wav,['myself what']
en,male,112.wav,['wow']
en,male,113.wav,"[""smoke break we can't just take off""]"
en,male,107.wav,"[""I found the world don't break""]"
en,male,12.wav,"[""don't""]"
en,male,202.wav,['you do this']
en,male,61.wav,['they show me I do']
en,male,75.wav,['normal video scary why do you think I said you']
en,male,49.wav,['I can keep learning so him']
en,male,160.wav,"[""crime a grown up I'm a grown man""]"
en,male,174.wav,['moto']
en,male,175.wav,['take more soon diploma to grow up']
en,male,161.wav,"[""my brushes got knocked over I don't need to go""]"
en,male,149.wav,['design okay wow']
en,male,48.wav,['oh well you live your some things just gotta still the name for the warning']
en,male,74.wav,['on the left']
en,male,60.wav,['no one in everything']
en,male,203.wav,['oh my bro']
en,male,188.wav,['Rachel']
en,male,76.wav,['haa']
en,male,62.wav,['you should have your son set I shall go on']
en,male,177.wav,"[""oh I didn't think that through the business man is going to be very disappointed in me""]"
en,male,89.wav,['go be with the little prince']
en,male,163.wav,['children are certainly very very very odd this is not gonna help']
en,male,162.wav,['Marsh']
en,male,176.wav,"[""here's my heart""]"
en,male,88.wav,['and what is this time for me']
en,male,63.wav,['Tom']
en,male,189.wav,"[""lose your fire seven it's time to get back to work""]"
en,male,77.wav,['oh wow that was scary']
en,male,200.wav,['remember who you are']
en,male,204.wav,"[""you're so wonderful""]"
en,male,9.wav,['school']
en,male,73.wav,['I can care me for the shit thank you for your own']
en,male,199.wav,"[""I don't even remember""]"
en,male,67.wav,['just wait']
en,male,172.wav,['yeah nothing sensual']
en,male,166.wav,['shop shoot']
en,male,98.wav,['yeah yeah']
en,male,167.wav,['tabby I love my job']
en,male,99.wav,['choice']
en,male,173.wav,['credit be success']
en,male,198.wav,"[""you're here""]"
en,male,66.wav,['because kindness is just the same']
en,male,72.wav,"[""but I'm more powerful than the finger of my kids""]"
en,male,8.wav,['Hillary']
en,male,58.wav,['like a bad start']
en,male,64.wav,['what is a half of salutes actually when people love playing me']
en,male,70.wav,['I managed to grow up and I never forgot the little prince']
en,male,165.wav,"[""we don't""]"
en,male,171.wav,['God with you']
en,male,159.wav,"[""it's alright I don't need to cry""]"
en,male,158.wav,['what did you do that why you do']
en,male,170.wav,"[""since you've done something""]"
en,male,164.wav,['message']
en,male,71.wav,"[""it's awesome""]"
en,male,65.wav,['sweet dress just messages you know this planet']
en,male,59.wav,['there is a suit']
en,male,40.wav,['hello']
en,male,54.wav,['Rudy crew stop them from turning up for your age']
en,male,6.wav,['you just']
en,male,182.wav,['say with me songsschedule']
en,male,68.wav,"[""have a great day love my girl seen them intimately closure hand hasn't much changed my opinion of her""]"
en,male,196.wav,['yeah']
en,male,83.wav,['if you could never be lonely again']
en,male,97.wav,['ha ha I was obviously so did your car']
en,male,169.wav,['this how we']
en,male,141.wav,['trying']
